CarPark,WeekDays_Rate_1,WeekDays_Rate_2,Saturday_Rate,Sunday_PublicHoliday_Rate,Address,Location
Rochor Centre,Carpark closed,Carpark closed,Carpark closed,Carpark closed,"1 Rochor Road, S(180001)","1.3025558,103.8548721"
Roxy Square,"$0.60 for 1st 30min, $0.70 for next subsequent 30min from 7am to 6pm","$2.50/entry from 6pm to 12midnight, $0.70 for next subsequent 30min from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays,"50 East Coast Road, S(428769)","1.303884,103.9043973"
Royal Hotel,$1.71/hr from 6am to 6pm,$3.21/entry after 6pm,Charges same as weekdays,Charges same as weekdays,"36 Newton Road, S(307964)","1.3167871,103.8417713"
Royal Plaza on Scotts,"$4.80 for 1st hr, $1.80 for next subsequent 30min from 8am to 6pm",$5.80/entry from 6pm to 8am the following day,Charges same as weekdays,$5.80/entry from 8am to 8am the following day,"25 Scotts Road, S(228220)","1.3073645,103.8324041"
Royal Selangor Pewter Museum,"$2.20 for 1st hr, $1.10 for next subsequent 30min from 8am to 5pm",$2.50/entry from 5pm to 8am the following day,Charges same as weekdays,$2.50/entry,"32 Pandan Road, S(609279)","1.302128,103.750294"
Royal Square @ Novena,"$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 5.59pm",$2.50/entry from 6pm to 6.59am the following day,Charges same as weekdays,"$2.20 for 1st 4hr, $1.10 for next subsequent 30min from 7am to 5.59pm, $2.50/entry from 6pm to 6.59am the following day","101 Irawaddy Road, S(329565)","1.3206053,103.8432372"
Rutherford Building,"$1.60 for 1st hr, $1.07 for next subsequent 30min from 8am to 5pm","$1.60 for 1st hr, $1.07 for next subsequent 30min from 5pm to 8am the following day",Closed,Closed,"89 Science Park Drive, S(118261)","1.2878462,103.7909271"
Safra Jurong,"(For Member): $0.95 for 1st hr, $0.24 for next subsequent 15min, (For Public): $2.05 for 1st hr, $0.52 for next subsequent 15min from 6am to 6pm","(For Member): $1.90/entry, (For Public): $4.00/entry from 6pm to 6am the following day",Charges same as weekdays,"(For Member): $1.90/entry, (For Public): $4.00/entry from 6am to 6am the following day","333 Boon Lay Way, S(649848)","1.3350927,103.706292"
Safra Mount Faber,"(For Member): $1.25/hr, $0.32 for next subsequent 15min (For Public): $2.30/hr, $0.58 for next subsequent 15min from 6am to 5.59pm","(For Member): $2.40/entry, (For Public): $4.00/entry from 6pm to 5.59am the following day",Charges same as weekdays,"(For Member): $2.40/entry, (For Public): $4.00/entry from 6am to 5.59am the following day","2 Telok Blangah Way, S(098803)","1.2771481,103.8175278"
Safra Punggol Clubhouse,"$1.25 for 1st hr, $0.32 for next subsequent 15min from 6am to 5.59pm (Members), $2.30 for 1st hr, $0.58 for next subsequent 15min from 6am to 5.59pm (Public)","$2.40/entry from 6pm to 5.59am the following day (Members), $4.00/entry from 6pm to 5.59am the following day (Public)",Charges same as weekdays,"$2.40/entry from 6am to 5.59am the following day (Members), $4.00/entry from 6am to 5.59am the following day (Public)","9 Sentul Crescent, S(828654)","1.4103163,103.9061147"
Safra Tampines,"(For Member): $0.95 for 1st hr, $0.24 for next subsequent 15min, (For Public): $2.05 for 1st hr, $0.52 for next subsequent 15min from 6am to 5.59pm","(For Member): $1.90/entry, (For Public): $4.00/entry from 6pm to 5.59am the following day",Charges same as weekdays,"(For Member): $1.90/entry, (For Public): $4.00/entry from 6am to 5.59am the following day","1 Tampines Street 92, S(528882)","1.344724,103.941739"
Safra Toa Payoh,"(For Member): $1.25 for 1st hr, $0.32 for next subsequent 15min, (For Public): $2.30 for 1st hr, $0.58 for next subsequent 15min from 6am to 5.59pm","(For Member): $2.40/entry, (For Public): $4.00/entry from 6pm to 5.59am the following day",Charges same as weekdays,"(For Member): $2.40/entry, (For Public): $4.00/entry from 6am to 6am the following day","293 Lorong 6 Toa Payoh, S(319387)","1.3302141,103.854682"
Safra Yishun Country Club,"(For Member): $0.95/hr, (For Public): $2.05/hr, from 6am to 5.59pm","(For Member): $1.90/entry, (For Public): $4.00/entry from 6pm to 5.59am the following day",Charges same as weekdays,"(For Member): $1.90/entry, (For Public): $4.00/entry from 6am to 5.59am the following day","60 Yishun Avenue 4, S(769027)","1.4242354,103.8409184"
Saint Wilfrid Sports Complex / Saint Wilfred Field,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"3 Saint Wilfred Road, S(327920)","1.3252344,103.8617082"
Sakae Building,$3.00/hr from 7am to 6.30pm,"$3.00/entry from 6.31pm to 11.59pm, Additional Overnight Charge at $10.00 from 12midnight to 6.59am",Charges same as weekdays,$5.00/enty from 7am to 12midnight,"28 Tai Seng Street, S(534106) ","1.3349915,103.8894782"
Samsung Hub,$2.20/30min from 7am to 6pm,$3.20/entry from 6pm to 12midnight,$3.20/entry from 7am to 12midnight,$3.20/entry from 7am to 12midnight,"3 Church Street, S(049483) ","1.283276,103.849632"
Savoy Theatre,"$1.20/hr from 8am to 5pm for cars, $6.80/entry from 8am to 5pm for commercial vehicles","$3.00/entry from 5.01pm to 7.59am the following day for cars, $13.00/entry from 5.01pm to 7.59am the following day for commercial vehicles",Charges same as weekdays,"$3.00/entry from 8am to 7.59am the following day for cars, $13.00/entry from 8am to 7.59am the following day for commercial vehicles","90 Boon Lay Place, S(238834)","1.3473954,103.7119688"
School of the Arts Singapore,$2.50/hr from 7am to 5.59pm,$5.00/entry from 6pm to 7am the following day,"$2.50/hr from 7am to 5.59pm, $5.00/entry from 6pm to 6.59am the following day","$2.50/hr from 7am to 5.59pm, $5.00/entry from 6pm to 6.59am the following day","1 Zubir Said Drive, S(227968)","1.299447,103.848618"
Scotts Square,"$3.00 for 1st hr, $1.50 for next subsequent 30min from 8am to 5.29pm",$4.50/entry from 5.30pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,"6 Scotts Road, S(228209)","1.305752,103.8329475"
Sea Sports Centre,Free Parking,Free Parking,Free Parking,Free Parking,"11 Changi Coast Walk, S(499740)","1.3160404,103.9777296"
Seah Im Carpark,$0.60/30min from 7am to 10.30pm,$0.60/30min from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,2 Seah Im Road S(099114),"1.2666148,103.8190924"
Selegie Complex,*Building Demolished*,*Building Demolished*,*Building Demolished*,*Building Demolished*,"257 Selegie Road, S(188350)","1.3040291,103.8499541"
Seletar Country Club,Free Parking,Free Parking,Free Parking,Free Parking,"101 Seletar Club Road, S(798273)","1.409643,103.858065"
Sembawang Clubhouse,Free Parking,Free Parking,Free Parking,Free Parking,"43 Admiralty Road West, S(759962)","1.4697594,103.8196348"
Sembawang Country Club,Free Parking,Free Parking,Free Parking,Free Parking,"249 Sembawang Road, S(758352)","1.4179851,103.8160087"
Sembawang Shopping Centre,"$1.28 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 11.59pm","$1.28 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 11.59pm","$1.50 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 11.59pm","$1.50 for 1st hr, $0.43 for next subsequent 15min from 12midnight to 11.59pm","604 Sembawang Road, S(758459)","1.4420175,103.8250677"
Senoko Fishery Port,$2.70/entry from 7am to 7am the following day,$2.70/entry from 7am to 7am the following day,$2.70/entry from 7am to 7am the following day,$2.70/entry from 7am to 7am the following day,"31 Attap Valley Road, S(759908)","1.461703,103.792447"
Sentosa - Beach Station,$0.02/min from 7am to 5pm,$2.40/entry from 5.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,Beach View Road,"1.2523339,103.8189453"
Sentosa - Costa Sands Resort,Free Parking,Free Parking,Free Parking,Free Parking,Imbiah Walk,"1.2570401,103.8137707"
Sentosa - Imbiah,$0.02/min from 7am to 5pm,$2.40/entry from 5.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,Imbiah Road,"1.2555253,103.8160214"
Sentosa - Palawan Beach,$0.02/min from 7am to 5pm,$2.40/entry from 5.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,Lighthouse Beach Walk,"1.2643482,103.8046604"
Sentosa - Tanjong Beach,$0.02/min from 7am to 5pm,$2.40/entry from 5.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,Tanjong Beach Walk,"1.2455538,103.8262774"
Sentosa Cove Village,$0.02/min from 7am to 5pm,$2.40/entry from 5.01pm to 6.59am the following day,Charges same as weekdays,Charges same as weekdays,"1 Clove Avenue, S(098537)","1.246928,103.840005"
Sentosa Golf Club (SGC),Free Parking,Free Parking,Free Parking,Free Parking,"27 Bukit Manis Road, S(099892)","1.2437847,103.8293246"
Serangoon Stadium,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"35 Yio Chu Kang Road, S(545552)","1.3572138,103.8746754"
Serene Centre,"$1.80 for 1st hr, $1.80 for next subsequent 30min from 4.01am to 9.59pm",$3.21/entry from 10pm to 4am the following day,Charges same as weekdays,Charges same as weekdays,"10 Jalan Serene, S(258748)","1.3225807,103.8136111"
SGX Centre,$2.50/30min from 7am to 5pm,$3.00/entry from 5pm to 10pm,$3.00/entry from 7am to 10pm,$3.00/entry from 7am to 10pm,"2 Shenton Way, S(068804)","1.279759,103.8500817"
Shangri-La Hotel,"$6.00 for 1st hr, $2.00 for next subsequent 30min from 7am to 6pm",$8.00/entry from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"22 Orange Grove Road, S(258350)","1.3112751,103.8265168"
Shaw Centre,"$2.00 for 1st hr, $1.50 for next subsequent 30min from 3.01am to 6pm",$4.00/entry from 6.01pm to 3am the following day,Charges same as weekdays,Charges same as weekdays,"1 Scotts Road, S(228208)","1.3063434,103.8318606"
Shaw House,"$2.00 for 1st hr, $1.50 for next subsequent 30min from 3am to 6pm",$4.00/entry from 6.01pm to 3am the following day,Charges same as weekdays,Charges same as weekdays,"350 Orchard Road, S(238868)","1.3059065,103.8314983"
Shaw Plaza,$1.20/hr from 8am to 5pm,$2.00/entry from 5pm to 7.59am the following day,Charges same as weekdays,Charges same as weekdays,"352 Balestier Road, S(329780)","1.3250477,103.8514346"
Shenton House,$3.21/30min from 8am to 5pm,$3.21/entry from 5pm to 8am the following day,"$3.21/30min from 8am to 2pm, $3.21/entry from 2pm to 8am the following day",$3.21/entry from 8am to 8am the following day,"3 Shenton Way, S(068805)","1.2784546,103.8499767"
Sheraton Towers Singapore,"$4.00 for 1st hr, $2.00 for next subsequent 30min from 7am to 6pm",$6.00/entry from 6pm to 7am the following day,Charges same as weekdays,$6.00/entry from 7am to 7am the following day,"39 Scotts Road, S(228230)","1.3119879,103.8363441"
Shrewsbury Road,$0.60/30min from 7am to 5pm,"$0.60/30min from 5pm to 7am the following day, Parking charges capped at $5.00 from 10.30pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,Shrewsbury Road,"1.318254,103.8483153"
Shriro House,"$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5pm","$1.20 for 1st hr, $0.60 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"11 Chang Charn Road, S(159640)","1.2884646,103.8113923"
Shun Li Industrial Park,"$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 11pm",$3.00/entry from 11pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"61 Kaki Bukit Avenue 1, S(417943)","1.3366907,103.9107102"
Siglap Centre,$0.82/30min from 8am to 5pm,$0.82/30min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"55 Siglap Road, S(455871)","1.3125941,103.9231451"
Sim Lim Square,"$1.80/30min for 1st hr, $0.06/min from 3am to 6pm",$3/entry from 6pm to 3am the following day,Charges same as weekdays,Charges same as weekdays,"1 Rochor Canal Road, S(188504)","1.3030433,103.8529208"
Sim Lim Tower,$1.90/30min all day,Charges same as weekdays,Charges same as weekdays,Charges same as weekdays,"10 Jalan Besar, S(208787)","1.3037602,103.8547385"
Sin Ming AutoCity,$0.60/30min from 7am to 10.30pm,$0.60/30min from 10.30pm to 7am the following day capped at $5.00,Charges same as weekdays,"Free parking from 7am to 10.30pm, $0.60/30min from 10.30pm to 7am the following day capped at $5.00","160 Sin Ming Drive, S(575722)","1.3595203,103.838835"
Sin Ming Plaza,"$1.50 for 1st hr, $0.75 for next subsequent 30min from 8am to 5pm","$1.50 for 1st hr, $0.75 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"6 Sin Ming Road, S(575585)","1.352907,103.8362536"
Singapore Art Museum,Not for public,Not for public,Not for public,Not for public,"71 Bras Basah Road, S(189555)","1.2973507,103.8507467"
Singapore Botanic Gardens,$0.02/min from 7am to 7pm,$0.02/min up to a maximum cap of $2.00 for entry between 7pm to 10.30pm,Charges same as weekdays,Charges same as weekdays,"1 Cluny Road, S(259569)","1.3152057,103.8162553"
Singapore Chinese Cultural Centre,$2.25/30min from 7am to 5pm,$3.50/entry from 5pm to 7am the following day,$3.50/entry for whole day,$3.50/entry for whole day,"1 Straits Boulevard, S(018906)","1.2760644,103.8495223"
Singapore Conference Hall,Carpark closed,Carpark closed,Carpark closed,Carpark closed,"7 Shenton Way, S(068810)","1.2762667,103.8490709"
Singapore Cruise Center,"$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 6pm","$2.04/hr from 1am to 7am, $2.60/entry from 6pm to 1am the following day",Charges same as weekdays,Charges same as weekdays,"1 Maritime Square, HarbourFront Centre
S(099253)
","1.2643389,103.8201453"
Singapore Discovery Centre (SDC),$1.20/hr from 9am to 10pm,$1.80/hr from 10pm to 9am the following dy,Charges same as weekdays,Charges same as weekdays,"510 Upper Jurong Road, S(638365)","1.332714,103.678929"
Singapore Expo,"$3.20 for 1st 2hr, $1.50 for next subsequent 30min","$3.20 for 1st 2hr, $1.50 for next subsequent 30min",Charges same as weekdays,Charges same as weekdays,"1 Expo Drive, S(486150)","1.3335851,103.9588795"
Singapore Flyer,$2.00/hr from 6am to 6pm,"$2.00/entry from 6pm to 12midnight, $2.00/entry from 12midnight to 6am the following day","$2.00/hr from 6am to 12midnight, $2.00/entry from 12midnight to 6am the following day","$2.00/hr from 6am to 12midnight, $2.00/entry from 12midnight to 6am the following day","30 Raffles Avenue, S(039803)","1.2895301,103.8632483"
Singapore General Hospital (SGH),"$2.16/hr for Carpark C and I from 7am to 9.59pm, $1.08/hr for Carpark H from 7am to 9.59pm","$2.14/entry from 10pm to 6.59am the following day for Carpark C, I and H.",Charges same as weekdays,"$2.14/hr from 7.00am to 9:59pm, $2.14/entry from 10pm to 6.59am the following day for Carpark C and I, $2.14/entry from 7am to 6.59am the following day for Carpark H","1 Hospital Drive, S(169608)","1.2794968,103.8346293"
Singapore Godown,"$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 11pm",$2.40/entry from 11pm to 7am the following day,Charges same as weekdays,$2.40/entry from 7am to 7am the following day,"25 Tagore Lane, S(787602)","1.3863716,103.8288685"
Singapore Institute of Architects (SIA),HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"79 Neil Road, S(088904)","1.279189,103.842117"
Singapore Institute of Management,$0.64/30min from 6am to 5pm,$0.64/30min from 5pm to 11.59pm,$0.64/30min from 6am to 11.59pm,$0.64/30min from 6am to 11.59pm,"461 Clementi Road, S(599491)","1.3289777,103.7763498"
Singapore Islamic Hub,Private Car Park,Private Car Park,Private Car Park,Private Car Park,"273 Braddell Road, S(579702) ","1.3428081,103.852322"
Singapore Land Tower,Private Car Park,Private Car Park,Private Car Park,Private Car Park,"50 Raffles Place, S(048623) ","1.2847487,103.8519923"
Singapore Management University (SMU),"$2.40/hr from 12midnight to 10.59am, $3.00/hr from 11am to 1.59pm, $2.40/hr from 2pm to 5.59pm",$3.00/entry from 6pm to 11.59pm,"$2.40/hr from 12midnight to 5.59pm, $3.00/entry from 6pm to 11.59pm","$2.40/hr from 12midnight to 5.59pm, $3.00/entry from 6pm to 11.59pm","50 Stamford Road, S(178899)","1.295279,103.8505542"
Singapore Marriott Hotel,"$3.00 for 1st hr, $0.05/min from 6am to 6pm","$3.00 for 1st hr, $0.05/min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,"320 Orchard Road, S(238865)","1.3049283,103.8331385"
Singapore National Eye Centre (SNEC Balestier Branch),Carpark closed,Carpark closed,Carpark closed,Carpark closed,"363 Balestier Road, S(329784)","1.3244614,103.8506895"
Singapore National Eye Centre (SNEC),"(For SNEC patients only) $0.036/min from 7am to 5.30pm, Additional $3.00 Valet parking applicable to the normal parking fee",No Valet parking after 5.30pm,No Valet parking,No Valet parking,"11 Third Hospital Avenue, S(168751)","1.280899,103.8354919"
Singapore Philatelic Museum,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,HDB / URA parking rates,"23B Coleman Street, S(179807)","1.2928284,103.8486632"
Singapore Pools Building,$0.04/min from 8am to 5pm,$0.02/min from 5pm to 8am the following day,Charges same as weekdays,"$0.015/min from 8am to 11.59am, $0.02/min from 12pm to 8am the following day","210 Middle Road, S(188994)","1.3012607,103.851245"
Singapore Recreation Club,"(Mon-Thurs) $2.20 for 1st hr, $1.50 for next subsequent 30min from 6.30am to 6pm",(Mon-Thurs) $4.00/entry from 6pm to 12midnight,"(Fri-Sat) $2.20 for 1st hr, $1.50 for next subsequent 30min from 6.30am to 6pm, $4.00/entry from 6pm to 1am the following day","$2.20 for 1st hr, $1.50 for next subsequent 30min from 6.30am to 6pm, $4.00/entry from 6pm to 12midnight","B Connaught Drive, S(179682)","1.2921416,103.8538267"
Singapore Science Centre,$0.60/30min from 7am to 6pm,$0.60/30min from 6pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"15 Science Centre Road, S(609081)","1.3336037,103.7354332"
Singapore Shopping Centre,"$2.50 for 1st hr, $1.25 for next subsequent 30min from 8.01am to 8pm",$3.00/entry from 8.01pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"190 Clemenceau Avenue, S(239924)","1.2981622,103.844132"
Singapore Sports Hub,$0.021/min from 7am to 5pm,$0.021/min from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"2 Stadium Walk, S(397691)","1.300506,103.874585"
Singapore Swimming Club,"$1.50 for 1st hr, $0.02 for next subsequent min from 6am to 6pm","$2.03 for 1st hr, $0,03 for next subsequent min from 6pm to 6am the following day",Charges same as weekdays,Charges same as weekdays,"45 Tanjong Rhu Road, S(436899)","1.2967772,103.8814139"
Singapore Tourism Board (STB),Private Parking only,Private Parking only,Private Parking only,Private Parking only,"1 Orchard Spring Lane, S(247729)","1.3036097,103.8239655"
Singapore Turf Club (STC),$3.00/entry from 9am to 5pm from Mon to Thurs,$5.00/entry from 5pm to 8am the following day from Mon to Thurs,$6.00/entry from 9am to 8pm from Fri to Sunday,$6.00/entry from 9am to 8pm from Fri to Sunday,"1 Turf Club Avenue Singapore Racecourse, S(738078)","1.4219327,103.7622666"
Singapore University of Technology and Design (SUTD),$0.02/min from 8am to 5pm,$0.02/min from 5pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"8 Somapah Road, S(487372)","1.3413022,103.9637525"
Singapore Zoo / Singapore Night Safari,"$3.00 for 1st hr, $2.00 for next subsequent hr from 8.30am to 6pm (Capped at $10/entry)","$3.00 for 1st hr, $2.00 for next subsequent hr from 8.30am to 6pm (Capped at $10/entry)",Charges same as weekdays,Charges same as weekdays,"80 Mandai Lake Road, S(729826)","1.404538,103.7898127"
Singapore-Johore Factory,$1.30/hr from 8am to 4.59pm,$1.60/entry from 5pm to 7.59am the following day,Charges same as weekdays,Closed,"51 Kampong Bugis, S(338986)","1.306862,103.8664872"
SingPost Centre,"$1.50 for 1st hr, $0.80 for next subsequent 30min from 6am to 6pm",$2.50/entry from 6pm to 6am the following day,"$1.50 for 1st hr, $0.80 for next subsequent 30min from 6am to 1pm, $2.50/entry from 1pm to 6am the following day",$2.50/entry from 6am to 6am the following day,"10 Eunos Road 8, S(408600)","1.3189418,103.8944605"
Six Battery Road,$3.10/30min from 7am to 5.59pm,$3.70/entry from 6pm to 6.59am the following day,"$3.10/30min from 7am to 12.59pm, $3.70/entry from 1pm to 7am the following day",$3.70/entry from 7am to 7am the following day,"6 Battery Road, S(049909)","1.285539,103.851667"
Snow City,$0.60/30min from 7am to 7pm,$0.60/30min from 7pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"21 Jurong Town Hall Road, S(609433)","1.3353152,103.7356189"
Sofitel Singapore Sentosa Resort & Spa Hotel,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,Complimentary parking for hotel guests only,"2 Bukit Manis Road, S(099891)","1.2456916,103.8278754"
South Beach Tower,$2.40/hr from 7am to 5.59pm,$3.50/entry from 6pm to 6.59am the following day,$5.00/entry from 6.59am to 6.59am the following day,$5.00/entry from 6.59am to 6.59am the following day,"38 Beach Road, S(189767)","1.2956743,103.8565043"
South Bridge Court,$1.80/30min from 8am to 5.59pm,$3.00/entry from 6pm to 7.59am the following day,"$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day","$3.00/entry from 8am to 5.59pm, $3.00/entry from 6pm to 7.59am the following day","22 Cross Street, S(048421)","1.2843189,103.8467228"
South Point,"$3.00 for 1st hr, $2.00 for next subsequent 30min from 8am to 10pm",$3.00/entry from 10pm to 8am the follwoing day,Charges same as weekdays,$5.00/entry from 8am to 8am the following day,"200 Cantonment Road, S(089763)","1.2734969,103.8412373"
Space Kovan,$1.50/hr from 8am to 6pm,$1.50/hr from 6pm to 8am the following day,Charges same as weekdays,Charges same as weekdays,"11 Yio Chu Kang Road, S(545523)","1.3545899,103.8769033"
Space Tampines,"$1.28 for 1st hr, $0.64 for next subsequent 30min from 8am to 6pm",$2.50/entry from 6pm to 8am the following day,"Free parking for 1st 2hr, $0.64 for next subsequent 30min from 8am to 10pm, $2.50/entry from 10pm to 5.59am the following day","Free parking for 1st 2hr, $0.64 for next subsequent 30min from 8am to 10pm, $2.50/entry from 10pm to 5.59am the following day","18 Tampines Industrial Crescent, S(528822)","1.3751535,103.9291714"
Sports Hub@Punggol,$0.60/30min from 7am to 6pm,"$0.90/30min from 6pm to 12midnight, $0.60/30min from 12midnight to 7am the following day",Charges same as weekdays,Charges same as weekdays,"6 Tebing Lane, S(828835)","1.3924633,103.9160714"
SPRING Singapore,$0.50/30min from 7am to 6pm,$2.50/entry from 6pm to 7am the following day,"$0.50/30min from 7am to 1pm, $2.50/entry from 1pm to 7am the following day",$2.50/entry from 7am to 7am the following day,"2 Bukit Merah Central, S(159835)","1.2843566,103.8137469"
Springleaf Tower,Season Parking Only,Season Parking Only,Season Parking Only,Season Parking Only,"3 Anson Road, S(079909)","1.2753676,103.8463986"
Square 2,"$2.14 for 1st hr, $1.07 for next subsequent 30min from 7am to 6pm",$2.68/entry from 6pm to 7am the following day,Charges same as Weekdays,"$2.35 for 1st 4hr, $1.18 for next subsequent 30min from 7am to 6pm, $2.68/entry from 6pm to 7am the following day","10 Sinaran Drive, S(307506)","1.3206513,103.8443689"
St Andrew's Community Hospital,"$1.20/hr, $0.70 for next subsequent 30min from 8am to 5pm","$1.20/hr, $0.70 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"8 Simei Street 3, S(529895)","1.3416611,103.9490831"
St Luke Hospital,$1.50/hr from 7am to 5pm,$1.50/hr from 5pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"2 Bukit Batok Street 11, S(659674)","1.349345,103.742008"
St Regis Singapore,"$4.00 for 1st hr, $2.00 for next subsequent 30min from 7am to 5pm",$5/entry from 5pm to 7am the following day,Charges same as weekdays,$5.00/entry from 7am to 7am the following day,"29 Tanglin Road, S(247911)","1.3054244,103.8261546"
St. James Power Station,$0.80/30min from 7am to 9pm,"$4.00/entry for 1st 3hr, $2.00 for subsequent hr from 9pm to 7am the following day","$1.00/hr from 7am to 9pm, $4.00/entry for 1st 3hr, $2.00 for for subsequent hr from 5pm to 7am the following day","$1.00/hr from 7am to 9pm, $4.00/entry for 1st 3hr, $2.00 for for subsequent hr from 5pm to 7am the following day","3 Sentosa Gateway, S(098544)","1.2648957,103.8247738"
Standard Chartered @ Changi,$0.60/30min from 7am to 7pm,"$0.60/30min from 7pm to 7am the following day, capped at $4.00",Charges same as weekdays,Charges same as weekdays,"9 Changi Business Park Crescent, S(486041)","1.335273,103.9674275"
Stars of Kovan,$1.00/hr from 7am to 10.30pm,$2.00/hr from 10.30pm to 7am the following day,Charges same as weekdays,Charges same as weekdays,"988 Upper Serangoon Road, S(534733)","1.3618465,103.8872013"
Strand Hotel,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,Free parking for Hotel's guests,"25 Bencoolen Street, S(189619)","1.2986766,103.8497123"
Studio M Hotel,"$6.00 for 1st hr, $4.50 for next subsequent hour","$6.00 for 1st hr, $4.50 for next subsequent hour",Charges same as weekdays,Charges same as weekdays,3 Nanson Road S(238910),"1.2908153,103.8391747"
Sultan Link,"$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 6pm","$3.00/entry from 6pm to 3am the following day, $20.00/entry from 3am to 7am","$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 12pm, $3.00/entry from 12pm to 3am the following day, $20.00/entry from 3am to 7am",$3.00/entry from 7am to 7am the following day,"57 Mohamed Sultan Road, S(238997)","1.2919016,103.8399972"
Sultan Plaza,$1.80/hr from 8am to 6pm,"$3.00/entry from 6pm to 12midnight, $3.00/entry from 12midnight to 8am the following day",Charges same as weekdays,$3.00/entry from 8am to 8am the following day,"100 Jalan Sultan, S(199001)","1.3032484,103.8619363"
Sun Plaza,"$1.39 for 1st hr, $0.75 for subsequent 30min from 7am to 4.59pm","$2.68/entry from 5pm to 10.59pm, $3.96/entry from 11pm to 6.59am the following day",Charges same as Weekdays,Charges same as Weekdays,"30 Sembawang Drive, S(757713)","1.4482678,103.8196887"
Sungei Buloh Wetland Reserve,Free parking from 7am to 7pm daily,Car Park closed after 7pm,Charges same as weekdays,Charges same as weekdays,"301 Neo Tiew Crescent, S(718925)","1.4462425,103.7294145"
Sunshine Plaza,"(Mon-Thurs) $2.00 for 1st hr, $0.04 for next subsequent min from 7am to 9pm",(Mon-Thurs) $5.00/entry from 9pm to 7am the following day,"(Fri-Sat) $2.20 for 1st hr, $0.04 for next subsequent min from 7am to 9pm, $5.00/entry from 9pm to 7am the following day","$2.20 for 1st hr, $0.04 for next subsequent min from 7am to 9pm, $5.00/entry from 9pm to 7am the following day","91 Bencoolen Street, S(189652)","1.3005314,103.8508826"
Suntec City Mall,"$2.20 for 1st hr, $1.10 for subsequent 30min from 7am to 5pm",$2.20/entry from 5pm to 7am the following day,"$1.10/hr from 7am to 5pm, $2.80/entry from 5pm to 7am the following day","$1.10/hr from 7am to 5pm, $2.80/entry from 5pm to 7am the following day","3 Temasek Boulevard, S(038983)","1.2957108,103.8586488"
Suzue PSA Cold Storage,"$1.50 for 1st hr, $1.00 for next subsequent 30min from 7am to 5pm","$1.50 for 1st hr, $1.00 for next subsequent 30min from 5pm to 7am the following day",Charges same as weekdays,Charges same as weekdays,"43 Keppel Road, S(099418)","1.2717672,103.8331363"
Swissotel Merchant Court Hotel,"$4.50 for 1st hr, $1.50 for next subsequent 30min from 8am to 5pm","$4.50 for 1st hr, $1.50 for next subsequent 30min from 5pm to 8am the following day",Charges same as weekdays,Charges same as weekdays,"20 Merchant Road, S(058281)","1.2887138,103.8456287"
